id,title,timestamp,audio_local,image_local,text_local,audio_url,image_url,text_url,analysis,long_prompt
1,Two Worlds Collide in Static Silence,20251120-222603,/data/sonic_runs/audio/0001-two-worlds-collide-in-static-silence-20251120-222603.wav,/data/sonic_runs/images/0001-two-worlds-collide-in-static-silence-20251120-222603.png,/data/sonic_runs/texts/0001-two-worlds-collide-in-static-silence-20251120-222603.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0001-two-worlds-collide-in-static-silence-20251120-222603.wav?token=BAGMYESKBZ2IN2I6F7VVJTTJD6K6Q,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0001-two-worlds-collide-in-static-silence-20251120-222603.png?token=BAGMYETVQCSXRHPPPN4VWSLJD6K6S,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0001-two-worlds-collide-in-static-silence-20251120-222603.txt?token=BAGMYEXD2TDT2VE4NG5DNN3JD6K6U,"A black-and-white photo of two people embracing is torn and placed atop a child’s crayon drawing of a figure lying in a striped bed. The photo and drawing are both mounted on textured beige paper, suggesting layered memory or contrast between adult and child perspectives.","Industrial dusk ambience—faint metallic groans from distant machinery—damp concrete textures underfoot—pulsing low-frequency hums—sudden crackle of static—childlike finger-drumming rhythm—echoing footsteps on wooden stairs—whispered laughter fading into silence—warm breath in cold air—ticking clock at the edge of perception—deep bass throb beneath all—spacious, hollow reverberation—distant rain on metal—sudden stillness like a held breath—texture of paper rustling beneath—gently fading into nothing."
2,"Winter’s Stillness, Boots on Wood",20251120-230611,/data/sonic_runs/audio/0002-winters-stillness-boots-on-wood-20251120-230611.wav,/data/sonic_runs/images/0002-winters-stillness-boots-on-wood-20251120-230611.png,/data/sonic_runs/texts/0002-winters-stillness-boots-on-wood-20251120-230611.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0002-winters-stillness-boots-on-wood-20251120-230611.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0002-winters-stillness-boots-on-wood-20251120-230611.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0002-winters-stillness-boots-on-wood-20251120-230611.txt,"A person stands atop a weathered wooden sled in deep snow, legs clad in black pants and sturdy gray boots. The background reveals a gently sloping, snow-dusted hillside with sparse vegetation. No other figures or objects are visible, emphasizing solitude and quiet anticipation.",Winter dusk ambience—crisp snow crunch underfoot—wooden sled creaks subtly—wind whispers through distant trees—boots press down with soft muffled thud—low hum of frozen earth—wood grain groans faintly beneath weight—cold air shivers in stereo—sudden silence punctuated by distant bird call—low-frequency snow drifts sigh under unseen movement—space feels vast and enclosed at once—texture of woolen fabric against cold air—rhythmic pause before descent—
3,Rooftop Van Oasis,20251120-230905,/data/sonic_runs/audio/0003-rooftop-van-oasis-20251120-230905.wav,/data/sonic_runs/images/0003-rooftop-van-oasis-20251120-230905.png,/data/sonic_runs/texts/0003-rooftop-van-oasis-20251120-230905.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0003-rooftop-van-oasis-20251120-230905.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0003-rooftop-van-oasis-20251120-230905.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0003-rooftop-van-oasis-20251120-230905.txt,"A bright yellow vintage van sits open on a tiled rooftop, with two people seated inside and one standing nearby. String lights dangle overhead, and a shopping cart rests beside the van. High-rise buildings loom in the background under a partly cloudy sky.","Sun-drenched rooftop buzz—  
warm vinyl crackle—  
soft laughter drifting upward—  
gentle breeze rustling string lights—  
distant city hum—  
metallic scrape of cart wheels—  
low thrum of rooftop fans—  
muffled chatter with echo—  
glass chime from nearby railing—  
sun-bleached wood creak—  
low bass pulse from distant traffic—  
high-pitched birdcall slicing through—  
ambient warmth—  
open-air intimacy—  
urban sky resonance—  
unfiltered daylight shimmer."
4,Ink and Devotion in Sacred Light,20251120-231101,/data/sonic_runs/audio/0004-ink-and-devotion-in-sacred-light-20251120-231101.wav,/data/sonic_runs/images/0004-ink-and-devotion-in-sacred-light-20251120-231101.png,/data/sonic_runs/texts/0004-ink-and-devotion-in-sacred-light-20251120-231101.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0004-ink-and-devotion-in-sacred-light-20251120-231101.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0004-ink-and-devotion-in-sacred-light-20251120-231101.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0004-ink-and-devotion-in-sacred-light-20251120-231101.txt,"An elderly artisan, wearing a patterned headwrap and glasses, leans over a large surface, carefully applying ink with a brush. Behind them, ornate, brightly colored tapestries hang, catching warm, diffused light from a window to the left. The scene exudes quiet concentration and cultural craftsmanship within an intimate, spiritually charged interior.",Sacred reverie—soft brushstroke scraping on paper—murmured chant tones in distant choir—velvet drapes sighing in gentle breeze—wooden beam creaks low and slow—warm amber glow hums in ambient space—distant bells chime faintly—inkwell tap-tap rhythm—deep woolen textures—echoing silence between strokes—mystical stillness—microtonal harmonies—soft footsteps on stone floor—layered spatial depth—ancient wisdom breathes around the sound.
5,Sphere Mirrors Dusk Over Water,20251120-231453,/data/sonic_runs/audio/0005-sphere-mirrors-dusk-over-water-20251120-231453.wav,/data/sonic_runs/images/0005-sphere-mirrors-dusk-over-water-20251120-231453.png,/data/sonic_runs/texts/0005-sphere-mirrors-dusk-over-water-20251120-231453.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0005-sphere-mirrors-dusk-over-water-20251120-231453.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0005-sphere-mirrors-dusk-over-water-20251120-231453.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0005-sphere-mirrors-dusk-over-water-20251120-231453.txt,"A reflective glass sphere rests on a dark, textured rock, capturing an inverted, sun-starred view of a pier stretching into calm water. The background pier is softly blurred under golden-hour light, while the sphere’s surface precisely mirrors the sun’s rays and structure with high clarity.",Ambient coastal twilight—gentle tide lap—crisp glass resonance—warm harmonic hum—distant gull cries—subtle wind whispering across stone—low-frequency ocean swell—soft metallic shimmer—echoing pier supports—sudden sunburst crackle—vibrant high-frequency flare—deep atmospheric reverb—spacey echo layer—muted distant traffic hum—gentle granular grain—ambient warmth—spatial depth—slow rhythmic pulse—sunset’s last golden breath—
6,Whispering Peaks and Paws,20251120-232842,/data/sonic_runs/audio/0006-whispering-peaks-and-paws-20251120-232842.wav,/data/sonic_runs/images/0006-whispering-peaks-and-paws-20251120-232842.png,/data/sonic_runs/texts/0006-whispering-peaks-and-paws-20251120-232842.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0006-whispering-peaks-and-paws-20251120-232842.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0006-whispering-peaks-and-paws-20251120-232842.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0006-whispering-peaks-and-paws-20251120-232842.txt,"A small, fluffy dog stands alert on a weathered wooden bench overlooking a deep turquoise lake nestled between steep, forested cliffs. The surrounding mountains rise dramatically, covered in evergreens and patches of grass, under a bright, clear sky. The scene is tranquil and expansive, with no visible humans.","Alpine morning ambience—soft breeze rustles pine needles—distant water droplets splash gently—wooden bench creaks with subtle weight—birdsong trills in layered intervals—crystal-clear lake whispers against stone—high cliffs echo low rumbling wind—muffled footsteps on mossy ground—warm sun glints off wet rock—deep resonance of distant thunder rumbling below—microscopic crickets chirp beneath—high-pitched dog’s breaths steady—space vast and reverent—tones crisp, airy, and cool—texture rich, natural, and immersive—rhythm slow, peaceful, and undulating—depth expansive with layered environmental tones—spatial balance: foreground, midground, and distant peaks clearly defined."
7,Liquid Explosion in Rustic Stillness,20251120-233417,/data/sonic_runs/audio/0007-liquid-explosion-in-rustic-stillness-20251120-233417.wav,/data/sonic_runs/images/0007-liquid-explosion-in-rustic-stillness-20251120-233417.png,/data/sonic_runs/texts/0007-liquid-explosion-in-rustic-stillness-20251120-233417.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0007-liquid-explosion-in-rustic-stillness-20251120-233417.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0007-liquid-explosion-in-rustic-stillness-20251120-233417.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0007-liquid-explosion-in-rustic-stillness-20251120-233417.txt,"A white enamel mug erupts with a vivid splash of amber liquid, droplets suspended mid-air against a warm wooden backdrop. Beside it rests a plate of assorted cookies and a glass jar spilling cocoa beans, all set on a weathered tabletop. The composition suggests motion frozen in time, lit by directional warmth.","Warm wooden ambience—crisp liquid hiss, creamy splatter pop, soft ceramic clink, granular chocolate crunch, distant muffled jar rattle, airy droplet tinkle, rhythmic spatula scrape, ambient warmth hum—spatially layered with mid-range splash focus, rear cocoa bean rustle, and foreground spoon whisper—texture-rich, tactile, and warmly reverberant."
8,Birthday pup in festive hat,20251120-234016,/data/sonic_runs/audio/0008-birthday-pup-in-festive-hat-20251120-234016.wav,/data/sonic_runs/images/0008-birthday-pup-in-festive-hat-20251120-234016.png,/data/sonic_runs/texts/0008-birthday-pup-in-festive-hat-20251120-234016.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0008-birthday-pup-in-festive-hat-20251120-234016.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0008-birthday-pup-in-festive-hat-20251120-234016.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0008-birthday-pup-in-festive-hat-20251120-234016.txt,"A small tan dog wears a colorful party hat with “Happy Birthday!” printed on it. The dog’s large, dark eyes gaze upward with an expression of mild bewilderment or resignation. The background is a plain, softly lit wall, and a red fabric is visible behind the dog’s shoulder.","Warm indoor ambient—soft cushioned breathing—subtle crinkle of paper hat—gentle muffled footsteps—low-pitched dog panting—faint distant chime—soft rustle of red fabric—muffled laughter from afar—distant ticking clock—warm bass hum—breath sounds with a slight echo—spatially layered, front-centered with gentle reverb."
9,Steel Silence Beneath the Yellow Cloak,20251120-234211,/data/sonic_runs/audio/0009-steel-silence-beneath-the-yellow-cloak-20251120-234211.wav,/data/sonic_runs/images/0009-steel-silence-beneath-the-yellow-cloak-20251120-234211.png,/data/sonic_runs/texts/0009-steel-silence-beneath-the-yellow-cloak-20251120-234211.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0009-steel-silence-beneath-the-yellow-cloak-20251120-234211.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0009-steel-silence-beneath-the-yellow-cloak-20251120-234211.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0009-steel-silence-beneath-the-yellow-cloak-20251120-234211.txt,"A medieval armored figure stands poised, helmeted and gauntleted, draped in a mustard-yellow tunic beneath layered steel. Chainmail wraps the neck and shoulders, while articulated plate armor covers arms and torso—hands clenched around a weapon’s hilt. The background is neutral gradient, isolating the subject’s form and metallic sheen.",Industrial dusk ambience—rustling chainmail whispers under a belt’s studded buckle—metallic clink of gauntlet joints moving—low metallic groan of plate armor shifting under tension—damp woolen cloth breathes softly—thrum of distant war drums—echoing clangs from a forge in the distance—air thick with metallic dust—low rumble of armored footsteps on stone—cold metallic resonance in the throat of a helmet—shadowed breaths caught in the visor’s grill—sudden silence after a blade’s draw—
10,Bounty of Earth’s Vibrant Palette,20251120-234408,/data/sonic_runs/audio/0010-bounty-of-earths-vibrant-palette-20251120-234408.wav,/data/sonic_runs/images/0010-bounty-of-earths-vibrant-palette-20251120-234408.png,/data/sonic_runs/texts/0010-bounty-of-earths-vibrant-palette-20251120-234408.txt,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/audio/0010-bounty-of-earths-vibrant-palette-20251120-234408.wav,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/images/0010-bounty-of-earths-vibrant-palette-20251120-234408.png,https://raw.githubusercontent.com/fraloisio/sonic-runs-assets/main/texts/0010-bounty-of-earths-vibrant-palette-20251120-234408.txt,"A colorful market stall displays rows of fresh produce—eggplants, carrots, cherries, bananas, tomatoes, and peppers—in a dense, layered arrangement. Each type is grouped by hue and shape, creating a rich, textured mosaic that feels abundant and freshly harvested.","Market bustle—bustling, humid, organic—crunch of carrots underfoot—squelch of damp earth—pulsing hum of distant chatter—rustle of plastic bags—sizzle of ripe cherry skins—gush of banana peels—sudden pop of a tomato’s skin—warm breeze stirring greens—low thrum of vendor carts—distant metallic clang—sudden splash of a dropped crate—echoing chatter—hollow thump of a melon—sustained hum of life—warm, layered, living space."
